node,degree,betweenness,pagerank
Lực lượng Phòng vệ Biển Nhật Bản,0.00012156576707999027,0.0,6.744238995081354e-05
JMSDF,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
Thái Bình Dương,0.00012156576707999027,0.0,0.0001737207515330165
Viện Nghiên cứu Công nghệ Không gian và Dưới nước,0.00012156576707999027,0.0,6.744238995081354e-05
Đại Học Bách Khoa Hà Nội,0.00012156576707999027,0.0,0.00012471256730373165
Bộ Thương mại Trung,0.00012156576707999027,0.0,6.744238995081354e-05
LPBank,0.001337223437879893,5.109363978713657e-06,0.00025937316418611894
Đà Nẵng,0.0046194991490396305,0.0,0.001610241965118849
Sở Giao dịch Chứng khoán TPHCM,0.0004862630683199611,0.0,6.744238995081354e-05
HoSE,0.0034038414782397277,0.0006345134855777749,0.00036694435920642715
tòa nhà Coninco,0.00012156576707999027,0.0,8.389270424827645e-05
Global X ETFs,0.00024313153415998054,0.0,7.793036716583038e-05
VinWonders Cần Giờ,0.00012156576707999027,0.0,6.744238995081354e-05
Hong Kong,0.00036469730123997083,0.0,0.00031821440632445454
Tỉnh ủy Phú Thọ,0.00012156576707999027,0.0,6.744238995081354e-05
Ban Thường vụ Tỉnh ủy Vĩnh Phúc,0.00012156576707999027,0.0,0.00012471256730373165
ban Kỹ thuật công nghệ Môi trường,0.00012156576707999027,0.0,6.744238995081354e-05
Tổng công ty Cảng hàng không Việt Nam,0.0006078288353999514,6.410839084613469e-05,0.00016624799287145997
Phụ sản Hà Nội,0.00012156576707999027,0.0,6.744238995081354e-05
Cục Thống kê,0.0024313153415998056,0.0004533768693930697,0.00022317658788788565
Đại học Thanh Hoa,0.0004862630683199611,3.8273367087988056e-05,0.00014380262642137105
Thanh Hoa,0.00012156576707999027,0.0,9.082652458841806e-05
Tổng LĐLĐVN,0.00012156576707999027,0.0,6.744238995081354e-05
Mặt trận Tổ quốc Việt Nam,0.0004862630683199611,1.7538971866454522e-07,0.00013478619058692866
miền Bắc,0.0029175784099197666,0.0,0.0010562224844361673
OGA Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
Châu Á,0.00449793338195964,0.0,0.001672859435292977
Báo Nhân Dân,0.0006078288353999514,9.741532776989344e-05,0.0001011425379260684
Heineken Việt Nam,0.0006078288353999514,4.583780737232946e-05,0.00011738112359362314
Bộ Lao động-Thương binh và Xã hội,0.00012156576707999027,0.0,6.744238995081354e-05
Đại học Bách khoa Hà Nội,0.0012156576707999028,6.383505676610415e-05,0.0001901641985642095
Trung tâm tài chính Dubai,0.00012156576707999027,0.0,6.744238995081354e-05
Trung tâm tài chính Astana,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
UBND tỉnh Bình Định,0.001823486506199854,3.320665418195896e-05,0.00012471256730373165
Công ty Cổ phần Tập đoàn Đầu tư Phù Mỹ,0.00024313153415998054,4.4340097415194024e-08,7.561764853405991e-05
Khu công nghiệp Phù Mỹ,0.00012156576707999027,0.0,0.000131590047239181
Bộ Tài chính,0.016046681254558715,0.004231366269871876,0.000731885408471455
Thái Bình,0.00036469730123997083,0.0,0.00023704882795862878
Mailisa,0.00012156576707999027,0.0,6.744238995081354e-05
Bình Định,0.0009725261366399222,0.0,0.00034568462540324803
A05,0.0007293946024799417,3.695008117932835e-08,0.00014704404545734797
Hội đồng Vàng Thế giới,0.0012156576707999028,8.964089694105057e-05,0.00021061783333310884
Kazakhstan,0.0004862630683199611,0.0,0.00023872951198727037
đoàn Công ty TNHH MTV Cao su Chư Sê,0.00012156576707999027,0.0,6.744238995081354e-05
Cao su Chư Sê,0.00012156576707999027,0.0,0.00012471256730373165
Đại học RMIT Việt Nam,0.0012156576707999028,3.5898429180845716e-05,0.00010557902329928019
Viettel Đồng Tháp,0.00012156576707999027,0.0,6.744238995081354e-05
Báo Đồng Tháp,0.0006078288353999514,5.912012988692536e-08,0.00025834298112720726
xã Phú Ninh,0.00012156576707999027,0.0,8.225973342463919e-05
Tập đoàn VNG,0.00012156576707999027,0.0,6.744238995081354e-05
Ủy ban Cạnh tranh Quốc gia,0.00036469730123997083,2.956006494346268e-08,0.00012471256730373165
số Z06 Đường số,0.00024313153415998054,0.0,0.00017785174809483313
National Geographic,0.00012156576707999027,0.0,6.744238995081354e-05
Giza,0.00024313153415998054,0.0,0.00020648683677129215
Viettel Post,0.0008509603695599319,3.077859944201154e-05,0.0001639535440718177
Liên hợp Lọc hóa dầu Nghi Sơn,0.00036469730123997083,0.0,6.744238995081354e-05
Sun Group,0.0015803549720398735,5.616412339257909e-07,0.00020931051252287843
Thanh Hóa,0.0015803549720398735,0.0,0.0007482646857240249
